ex_date,dividend_per_share
2015-01-07,0.47
2015-04-08,0.47
2015-07-08,0.47
2015-10-07,0.47
2016-01-06,0.48
2016-04-06,0.48
2016-07-06,0.48
2016-10-05,0.48
2017-01-06,0.49
2017-04-06,0.49
2017-07-06,0.49
2017-10-06,0.49
2018-01-09,0.50
2018-04-09,0.50
2018-07-09,0.50
2018-10-09,0.50
2019-01-09,0.51
2019-04-09,0.51
2019-07-09,0.51
2019-10-09,0.51
2020-01-09,0.52
2020-04-08,0.52
2020-07-09,0.52
2020-10-08,0.52
2021-01-08,0.52
2021-04-08,0.52
2021-07-08,0.52
2021-10-07,0.52
2022-01-07,0.52
2022-04-13,0.2775
2022-07-08,0.2775
2022-10-06,0.2775
2023-01-09,0.2775
2023-04-06,0.2775
2023-07-07,0.2775
2023-10-06,0.2775
2024-01-09,0.2775
2024-04-09,0.2775
2024-07-10,0.2775
2024-10-10,0.2775
2025-01-10,0.2775
2025-04-10,0.2775
2025-07-10,0.2775
2025-10-10,0.2775
2026-04-10,0.2775
2026-07-10,0.2775
