ex_date,dividend_per_share
2015-01-07,0.55
2015-04-08,0.55
2015-07-08,0.55
2015-10-07,0.565
2016-01-06,0.565
2016-04-06,0.565
2016-07-06,0.565
2016-10-05,0.5775
2017-01-06,0.5775
2017-04-06,0.5775
2017-07-06,0.5775
2017-10-06,0.59
2018-01-09,0.59
2018-04-09,0.59
2018-07-09,0.59
2018-10-09,0.6025
2019-01-09,0.6025
2019-04-09,0.6025
2019-07-09,0.6025
2019-10-09,0.615
2020-01-09,0.615
2020-04-09,0.615
2020-07-09,0.615
2020-10-08,0.6275
2021-01-07,0.6275
2021-04-08,0.6275
2021-07-08,0.6275
2021-10-07,0.64
2022-01-07,0.64
2022-04-07,0.64
2022-07-07,0.64
2022-10-06,0.6525
2023-01-09,0.6525
2023-04-06,0.6525
2023-07-07,0.6525
2023-10-06,0.665
2024-01-09,0.665
2024-04-09,0.665
2024-07-10,0.665
2024-10-10,0.6775
2025-01-10,0.6775
2025-04-10,0.6775
2025-07-10,0.6775
2025-10-10,0.69
2026-04-10,0.7075
2026-07-10,0.7075
