concept,start,end,value,form,fy,fp,filed
PaymentsForRepurchaseOfCommonStock,2014-01-01,2014-03-31,1237000000,10-Q,2015,Q1,2015-05-05
PaymentsForRepurchaseOfCommonStock,2014-01-01,2014-06-30,1396000000,10-Q,2015,Q2,2015-08-07
PaymentsForRepurchaseOfCommonStock,2014-01-01,2014-09-30,1617000000,10-Q,2015,Q3,2015-11-06
PaymentsForRepurchaseOfCommonStock,2014-01-01,2014-12-31,1617000000,10-K,2016,FY,2017-02-17
PaymentsForRepurchaseOfCommonStock,2015-01-01,2015-03-31,0,10-Q,2015,Q1,2015-05-05
PaymentsForRepurchaseOfCommonStock,2015-01-01,2015-06-30,0,10-Q,2016,Q2,2016-08-04
PaymentsForRepurchaseOfCommonStock,2015-01-01,2015-09-30,0,10-Q,2016,Q3,2016-11-03
PaymentsForRepurchaseOfCommonStock,2015-01-01,2015-12-31,269000000,8-K,2017,FY,2018-10-12
PaymentsForRepurchaseOfCommonStock,2016-01-01,2016-03-31,0,10-Q,2017,Q1,2017-05-04
PaymentsForRepurchaseOfCommonStock,2016-01-01,2016-06-30,197000000,10-Q,2017,Q2,2017-08-03
PaymentsForRepurchaseOfCommonStock,2016-01-01,2016-09-30,444000000,10-Q,2017,Q3,2017-11-03
PaymentsForRepurchaseOfCommonStock,2016-01-01,2016-12-31,512000000,10-K,2018,FY,2019-02-20
PaymentsForRepurchaseOfCommonStock,2017-01-01,2017-03-31,177000000,10-Q,2018,Q1,2018-05-03
PaymentsForRepurchaseOfCommonStock,2017-01-01,2017-06-30,458000000,10-Q,2018,Q2,2018-08-02
PaymentsForRepurchaseOfCommonStock,2017-01-01,2017-09-30,460000000,10-Q,2018,Q3,2018-11-02
PaymentsForRepurchaseOfCommonStock,2017-01-01,2017-12-31,463000000,10-K,2019,FY,2020-02-20
PaymentsForRepurchaseOfCommonStock,2018-01-01,2018-03-31,145000000,10-Q,2019,Q1,2019-05-07
PaymentsForRepurchaseOfCommonStock,2018-01-01,2018-06-30,564000000,10-Q,2019,Q2,2019-08-05
PaymentsForRepurchaseOfCommonStock,2018-01-01,2018-09-30,577000000,10-Q,2019,Q3,2019-11-05
PaymentsForRepurchaseOfCommonStock,2018-01-01,2018-12-31,609000000,8-K,,,2021-06-21
PaymentsForRepurchaseOfCommonStock,2019-01-01,2019-03-31,189000000,10-Q,2020,Q1,2020-05-06
PaymentsForRepurchaseOfCommonStock,2019-01-01,2019-06-30,240000000,10-Q,2020,Q2,2020-08-05
PaymentsForRepurchaseOfCommonStock,2019-01-01,2019-09-30,409000000,10-Q,2020,Q3,2020-11-05
PaymentsForRepurchaseOfCommonStock,2019-01-01,2019-12-31,2417000000,10-K,2021,FY,2022-02-16
PaymentsForRepurchaseOfCommonStock,2020-01-01,2020-03-31,5463000000,10-Q,2021,Q1,2021-05-06
PaymentsForRepurchaseOfCommonStock,2020-01-01,2020-06-30,5480000000,10-Q,2021,Q2,2021-08-05
PaymentsForRepurchaseOfCommonStock,2020-01-01,2020-09-30,5483000000,10-Q,2021,Q2,2021-11-04
PaymentsForRepurchaseOfCommonStock,2020-01-01,2020-12-31,5498000000,10-K,2022,FY,2023-02-13
PaymentsForRepurchaseOfCommonStock,2021-01-01,2021-03-31,176000000,10-Q,2022,Q1,2022-05-03
PaymentsForRepurchaseOfCommonStock,2021-01-01,2021-06-30,185000000,10-Q,2022,Q2,2022-08-04
PaymentsForRepurchaseOfCommonStock,2021-01-01,2021-09-30,191000000,10-Q,2022,Q3,2022-11-03
PaymentsForRepurchaseOfCommonStock,2021-01-01,2021-12-31,202000000,10-K,2023,FY,2024-02-23
PaymentsForRepurchaseOfCommonStock,2022-01-01,2022-03-31,197000000,10-Q,2023,Q1,2023-05-01
PaymentsForRepurchaseOfCommonStock,2022-01-01,2022-06-30,872000000,10-Q,2023,Q2,2023-07-27
PaymentsForRepurchaseOfCommonStock,2022-01-01,2022-09-30,875000000,10-Q,2023,Q3,2023-10-31
PaymentsForRepurchaseOfCommonStock,2022-01-01,2022-12-31,890000000,10-K,2024,FY,2025-02-12
PaymentsForRepurchaseOfCommonStock,2023-01-01,2023-03-31,188000000,10-Q,2024,Q1,2024-05-02
PaymentsForRepurchaseOfCommonStock,2023-01-01,2023-06-30,189000000,10-Q,2024,Q2,2024-07-25
PaymentsForRepurchaseOfCommonStock,2023-01-01,2023-09-30,190000000,10-Q,2024,Q3,2024-10-29
PaymentsForRepurchaseOfCommonStock,2023-01-01,2023-12-31,194000000,10-K,2025,FY,2026-02-09
PaymentsForRepurchaseOfCommonStock,2024-01-01,2024-03-31,157000000,10-Q,2025,Q1,2025-04-29
PaymentsForRepurchaseOfCommonStock,2024-01-01,2024-06-30,159000000,10-Q,2025,Q2,2025-07-24
PaymentsForRepurchaseOfCommonStock,2024-01-01,2024-09-30,202000000,10-Q,2025,Q3,2025-10-31
PaymentsForRepurchaseOfCommonStock,2024-01-01,2024-12-31,215000000,10-K,2025,FY,2026-02-09
PaymentsForRepurchaseOfCommonStock,2025-01-01,2025-03-31,218000000,10-Q,2026,Q1,2026-04-27
PaymentsForRepurchaseOfCommonStock,2025-01-01,2025-06-30,1179000000,10-Q,2026,Q2,2026-07-22
PaymentsForRepurchaseOfCommonStock,2025-01-01,2025-09-30,2669000000,10-Q,2025,Q3,2025-10-31
PaymentsForRepurchaseOfCommonStock,2025-01-01,2025-12-31,4500000000,10-K,2025,FY,2026-02-09
PaymentsForRepurchaseOfCommonStock,2026-01-01,2026-03-31,2475000000,10-Q,2026,Q1,2026-04-27
PaymentsForRepurchaseOfCommonStock,2026-01-01,2026-06-30,4669000000,10-Q,2026,Q2,2026-07-22
PaymentsOfDividendsCommonStock,2014-01-01,2014-03-31,2398000000,10-Q,2015,Q1,2015-05-05
PaymentsOfDividendsCommonStock,2014-01-01,2014-06-30,4784000000,10-Q,2015,Q2,2015-08-07
PaymentsOfDividendsCommonStock,2014-01-01,2014-09-30,7170000000,10-Q,2015,Q3,2015-11-06
PaymentsOfDividendsCommonStock,2014-01-01,2014-12-31,9552000000,10-K,2016,FY,2017-02-17
PaymentsOfDividendsCommonStock,2015-01-01,2015-03-31,2434000000,10-Q,2016,Q1,2016-05-05
PaymentsOfDividendsCommonStock,2015-01-01,2015-06-30,4873000000,10-Q,2016,Q2,2016-08-04
PaymentsOfDividendsCommonStock,2015-01-01,2015-09-30,7311000000,10-Q,2016,Q3,2016-11-03
PaymentsOfDividendsCommonStock,2015-01-01,2015-12-31,10200000000,8-K,2017,FY,2018-10-12
PaymentsOfDividendsCommonStock,2016-01-01,2016-03-31,2947000000,10-Q,2017,Q1,2017-05-04
PaymentsOfDividendsCommonStock,2016-01-01,2016-06-30,5899000000,10-Q,2017,Q2,2017-08-03
PaymentsOfDividendsCommonStock,2016-01-01,2016-09-30,8850000000,10-Q,2017,Q3,2017-11-03
PaymentsOfDividendsCommonStock,2016-01-01,2016-12-31,11797000000,10-K,2018,FY,2019-02-20
PaymentsOfDividendsCommonStock,2017-01-01,2017-03-31,3009000000,10-Q,2018,Q1,2018-05-03
PaymentsOfDividendsCommonStock,2017-01-01,2017-06-30,6021000000,10-Q,2018,Q2,2018-08-02
PaymentsOfDividendsCommonStock,2017-01-01,2017-09-30,9030000000,10-Q,2018,Q3,2018-11-02
PaymentsOfDividendsCommonStock,2017-01-01,2017-12-31,12038000000,10-K,2019,FY,2020-02-20
