concept,start,end,value,form,fy,fp,filed
PaymentsForRepurchaseOfCommonStock,2015-01-01,2015-03-31,5000000000,10-Q,2016,Q1,2016-04-28
PaymentsForRepurchaseOfCommonStock,2015-01-01,2015-06-30,5074000000,10-Q,2016,Q2,2016-07-29
PaymentsForRepurchaseOfCommonStock,2015-01-01,2015-09-30,5134000000,10-Q,2016,Q3,2016-10-26
PaymentsForRepurchaseOfCommonStock,2015-01-01,2015-12-31,5134000000,8-K,,,2018-05-01
PaymentsForRepurchaseOfCommonStock,2016-01-01,2016-12-31,0,8-K,,,2018-05-01
PaymentsForRepurchaseOfCommonStock,2017-01-01,2017-12-31,0,8-K,,,2018-05-01
PaymentsForRepurchaseOfCommonStock,2025-01-01,2025-03-31,0,10-Q,2026,Q1,2026-05-01
PaymentsForRepurchaseOfCommonStock,2025-01-01,2025-06-30,0,10-Q,2026,Q2,2026-07-31
PaymentsForRepurchaseOfCommonStock,2026-02-01,2026-02-28,2500000000,10-Q,2026,Q2,2026-07-31
PaymentsForRepurchaseOfCommonStock,2026-01-01,2026-03-31,2500000000,10-Q,2026,Q1,2026-05-01
PaymentsForRepurchaseOfCommonStock,2026-04-01,2026-04-30,1000000000,10-Q,2026,Q2,2026-07-31
PaymentsForRepurchaseOfCommonStock,2026-01-01,2026-06-30,3500000000,10-Q,2026,Q2,2026-07-31
PaymentsOfDividends,2014-01-01,2014-03-31,1517000000,10-Q,2015,Q1,2015-04-28
PaymentsOfDividends,2014-01-01,2014-06-30,3583000000,10-Q,2015,Q2,2015-07-28
PaymentsOfDividends,2014-01-01,2014-09-30,5653000000,10-Q,2015,Q3,2015-10-27
PaymentsOfDividends,2014-01-01,2014-12-31,7803000000,10-K,2016,FY,2017-02-21
PaymentsOfDividends,2015-01-01,2015-03-31,2153000000,10-Q,2016,Q1,2016-04-28
PaymentsOfDividends,2015-01-01,2015-06-30,4266000000,10-Q,2016,Q2,2016-07-29
PaymentsOfDividends,2015-01-01,2015-09-30,6373000000,10-Q,2016,Q3,2016-10-26
PaymentsOfDividends,2015-01-01,2015-12-31,8538000000,8-K,,,2018-05-01
PaymentsOfDividends,2016-01-01,2016-03-31,2302000000,10-Q,2017,Q1,2017-04-27
PaymentsOfDividends,2016-01-01,2016-06-30,4605000000,10-Q,2017,Q2,2017-08-03
PaymentsOfDividends,2016-01-01,2016-09-30,6908000000,10-Q,2017,Q3,2017-10-26
PaymentsOfDividends,2016-01-01,2016-12-31,9262000000,8-K,2018,FY,2019-08-08
PaymentsOfDividends,2017-01-01,2017-03-31,2354000000,10-Q,2018,Q1,2018-05-01
PaymentsOfDividends,2017-01-01,2017-06-30,4710000000,10-Q,2018,Q2,2018-07-31
PaymentsOfDividends,2017-01-01,2017-09-30,7067000000,10-Q,2018,Q3,2018-10-30
PaymentsOfDividends,2017-01-01,2017-12-31,9472000000,10-K,2019,FY,2020-02-21
PaymentsOfDividends,2018-01-01,2018-03-31,2407000000,8-K,2019,Q1,2019-08-08
PaymentsOfDividends,2018-01-01,2018-06-30,4845000000,10-Q,2019,Q2,2019-08-08
PaymentsOfDividends,2018-01-01,2018-09-30,7283000000,10-Q,2019,Q3,2019-10-30
PaymentsOfDividends,2018-01-01,2018-12-31,9772000000,10-K,2020,FY,2021-02-25
PaymentsOfDividends,2019-01-01,2019-03-31,2489000000,10-Q,2020,Q1,2020-04-27
PaymentsOfDividends,2019-01-01,2019-06-30,4981000000,10-Q,2020,Q2,2020-07-28
PaymentsOfDividends,2019-01-01,2019-09-30,7474000000,10-Q,2020,Q3,2020-10-27
PaymentsOfDividends,2019-01-01,2019-12-31,10016000000,10-K,2021,FY,2022-02-11
PaymentsOfDividends,2020-01-01,2020-03-31,2547000000,10-Q,2021,Q1,2021-04-27
PaymentsOfDividends,2020-01-01,2020-06-30,5090000000,10-Q,2021,Q2,2021-07-28
PaymentsOfDividends,2020-01-01,2020-09-30,7636000000,10-Q,2021,Q3,2021-10-26
PaymentsOfDividends,2020-01-01,2020-12-31,10232000000,10-K,2022,FY,2023-02-10
